Company Name,Industry,Open,High,Low,Previous Close,Last Traded Price,Change,Percentage Change,Share Volume,Value (Indian Rupee),52 Week High,52 Week Low,365 Day Percentage Change,30 Day Percentage Change,Date,Daily Change,Performance
Aurobindo Pharma Ltd.,Healthcare,512.25,524.0,506.5,513.1,522.75,9.65,-9.870689655172416,831959,429032936.71,1013.0,503.45,-46.84,-3.33,2023-01-30 20:21:07.200,-57.25,0.5160414610069102
Avanti Feeds Ltd.,Fast Moving Consumer Goods,432.85,436.5,425.0,432.85,436.0,3.15,-16.5949306551889,142890,61885659.0,674.85,384.2,-20.70,0.87,2023-01-31 13:49:26.400,-86.75,0.6460694969252426
Axis Bank Ltd.,Financial Services,633.0,646.6,631.8,636.8,644.0,7.20,47.706422018348626,6549359,4191262292.05,866.9,618.25,-14.90,-7.06,2023-02-01 07:17:45.600,208.0,0.7428769177529126
Bajaj Auto Ltd.,Automobile and Auto Components,3667.95,3678.7,3601.1,3706.6,3621.7,-84.90,462.37577639751544,756589,2746788798.61,4250.0,3027.05,-10.34,-4.08,2023-02-02 00:46:04.800,2977.7,0.8521647058823529
Bajaj Electricals Ltd,Consumer Durables,1021.0,1048.0,1000.2,1023.95,1042.0,18.05,-71.22898086533948,326410,335030488.1,1588.95,858.55,-0.29,3.41,2023-02-02 18:14:24.000,-2579.7,0.6557789735359829
Bajaj Finserv Ltd.,Financial Services,10920.0,11343.0,10727.2,10931.75,11315.0,383.25,985.8925143953934,408983,4572364502.72,19325.0,10727.2,-9.72,-15.48,2023-02-03 11:42:43.200,10273.0,0.5855109961190168
Bajaj Holdings & Investment Ltd.,Financial Services,4534.9,4655.0,4511.0,4585.2,4570.0,-15.20,-59.61113566062748,59937,275246886.99,6598.0,3586.0,26.86,-10.33,2023-02-04 05:11:02.400,-6745.0,0.6926341315550166
Bajaj Finance Ltd.,Financial Services,5364.0,5633.95,5335.05,5400.5,5617.95,217.45,22.93107221006565,1221890,6717694623.1,8050.0,5220.0,-10.23,-11.21,2023-02-04 22:39:21.600,1047.9499999999998,0.6978819875776398
Balaji Amines Ltd.,Chemicals,2860.0,2897.0,2831.7,2867.3,2889.0,21.70,-48.5755480201853,21727,62488155.62,5223.55,2651.0,7.24,-10.79,2023-02-05 16:07:40.800,-2728.95,0.5530721444228541
Balkrishna Industries Ltd.,Automobile and Auto Components,2125.0,2179.0,2109.5,2149.15,2178.85,29.70,-24.581169955001737,142057,304220747.78,2723.8,1690.55,-4.02,-8.11,2023-02-06 09:36:00.000,-710.1500000000001,0.7999302445113443
Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,360.0,362.5,354.65,359.45,360.7,1.25,-83.44539550680406,1214196,435192130.32,525.9,297.6,1.05,-11.10,2023-02-07 03:04:19.200,-1818.1499999999999,0.6858718387526146
Bandhan Bank Ltd.,Financial Services,262.5,266.0,259.05,263.5,265.0,1.50,-26.53174383143887,5414612,1423501494.8,349.55,229.55,-20.21,-19.16,2023-02-07 20:32:38.400,-95.69999999999999,0.7581175797453868
Bank of Baroda,Financial Services,97.6,97.8,95.6,97.4,97.35,-0.05,-63.26415094339624,32287305,3114433440.3,122.7,72.5,13.39,-2.84,2023-02-08 14:00:57.600,-167.65,0.7933985330073349
Bank of India,Financial Services,44.2,45.0,43.9,44.35,44.9,0.55,-53.87776065742167,1053018,46711878.48,80.75,40.4,-43.07,-7.51,2023-02-09 07:29:16.800,-52.449999999999996,0.5560371517027863
BASF India Ltd.,Chemicals,2727.0,2759.95,2626.95,2728.55,2720.0,-8.55,5957.906458797328,19400,52420740.0,3930.0,2351.0,4.97,6.81,2023-02-10 00:57:36.000,2675.1,0.6921119592875318
Bata India Ltd.,Consumer Durables,1665.0,1706.95,1650.0,1668.7,1705.0,36.30,-37.31617647058824,122583,206081636.28,2262.0,1550.0,4.51,-11.11,2023-02-10 18:25:55.200,-1015.0,0.7537577365163572
Bayer Cropscience Ltd.,Chemicals,5032.15,5135.0,4982.0,5007.15,5105.0,97.85,199.41348973607037,5806,29271761.84,6130.0,4218.05,-13.50,-7.24,2023-02-11 11:54:14.400,3400.0,0.83278955954323
Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,891.0,924.0,891.0,903.25,924.0,20.75,-81.90009794319295,20192,18467603.2,1353.15,839.9,-31.75,-9.45,2023-02-12 05:22:33.600,-4181.0,0.6828511251524221
Brightcom Group Ltd.,Information Technology,32.9,32.9,32.9,31.35,32.9,1.55,-96.43939393939394,821102,27014255.8,122.88,10.73,40.27,-51.17,2023-02-12 22:50:52.800,-891.1,0.2677408854166667
Bharat Dynamics Ltd.,Capital Goods,677.0,679.95,660.05,681.25,668.0,-13.25,1930.3951367781156,693286,462442560.58,904.9,356.85,90.32,-13.07,2023-02-13 16:19:12.000,635.1,0.7382031163664493
Bharat Electronics Ltd.,Capital Goods,233.0,235.5,227.25,234.1,229.7,-4.40,-65.61377245508982,5108014,1175354021.4,259.5,162.35,31.52,-0.28,2023-02-14 09:47:31.200,-438.3,0.8851637764932562
Berger Paints India Ltd.,Consumer Durables,570.45,583.95,563.75,568.3,583.0,14.70,153.80931649978234,1316578,757664307.44,872.95,543.6,-29.41,-7.58,2023-02-15 03:15:50.400,353.3,0.6678503923477862
Bharat Forge Ltd.,Capital Goods,645.15,649.35,635.0,651.8,643.0,-8.80,10.291595197255576,650298,418492774.92,847.95,595.0,-14.45,-7.53,2023-02-15 20:44:09.600,60.0,0.7582994280323132
Bharti Airtel Ltd.,Telecommunication,684.85,685.8,666.0,684.95,673.0,-11.95,4.665629860031095,4488771,3024129910.41,781.8,514.85,30.31,-2.18,2023-02-16 14:12:28.800,30.0,0.8608339728830904
Bharat Heavy Electricals Ltd.,Capital Goods,44.8,45.8,44.4,44.95,45.65,0.70,-93.21693907875186,11083459,499420662.54,80.35,41.4,-31.43,-12.21,2023-02-17 07:40:48.000,-627.35,0.568139390168015
Biocon Ltd.,Healthcare,308.75,312.0,305.0,308.4,311.3,2.90,581.9277108433736,1136834,351054339.2,414.4,305.0,-23.75,-7.69,2023-02-18 01:09:07.200,265.65000000000003,0.7512065637065638
Birla Corporation Ltd.,Construction Materials,874.9,877.1,826.0,870.95,839.9,-31.05,169.8040475425634,120235,101789748.65,1650.0,823.0,-28.19,-10.63,2023-02-18 18:37:26.400,528.5999999999999,0.509030303030303
Blue Dart Express Ltd.,Services,7850.0,7877.0,7730.1,7802.15,7765.55,-36.60,824.5803071794262,16566,129401664.48,7880.0,5306.5,34.59,4.17,2023-02-19 12:05:45.600,6925.650000000001,0.9854758883248731
Blue Star Ltd.,Consumer Durables,892.1,903.75,885.35,903.75,890.9,-12.85,-88.52753507478543,42446,38077882.14,1225.0,758.0,10.75,-11.78,2023-02-20 05:34:04.800,-6874.650000000001,0.727265306122449
Borosil Renewables Ltd.,Capital Goods,603.0,614.8,595.2,601.7,607.7,6.00,-31.78807947019867,469179,284435076.96,833.35,261.2,-,-8.39,2023-02-20 23:02:24.000,-283.19999999999993,0.7292254154916902
Bosch Ltd.,Automobile and Auto Components,15273.0,15731.2,15201.55,15229.6,15650.0,420.40,2475.2838571663647,71619,1114657346.49,19250.0,12932.45,1.36,4.12,2023-02-21 16:30:43.200,15042.3,0.812987012987013
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,308.5,319.25,305.7,308.4,318.5,10.10,-97.96485623003196,4416695,1381939698.55,503.0,293.35,-34.12,-5.46,2023-02-22 09:59:02.400,-15331.5,0.6332007952286283
Brigade Enterprises Ltd.,Realty,439.0,447.45,436.05,444.4,443.5,-0.90,39.24646781789638,140806,62332000.08,554.7,268.7,58.88,-4.36,2023-02-23 03:27:21.600,125.0,0.7995312781683792
Britannia Industries Ltd.,Fast Moving Consumer Goods,3412.0,3600.0,3412.0,3466.4,3575.0,108.60,706.08793686584,292487,1029595188.18,4153.0,3050.0,-5.02,-4.97,2023-02-23 20:55:40.800,3131.5,0.8608235010835541
BSE Ltd.,Financial Services,594.95,604.95,586.45,596.9,600.15,3.25,-83.21258741258741,778640,463088353.6,1046.67,296.33,-33.71,-21.03,2023-02-24 14:24:00.000,-2974.85,0.5733898936627589
Birlasoft Ltd.,Information Technology,353.7,357.1,343.55,353.25,352.1,-1.15,-41.33133383320836,1752456,612360700.08,585.85,316.45,-11.60,-4.68,2023-02-25 07:52:19.200,-248.04999999999995,0.6010070837245028
Computer Age Management Services Ltd.,Financial Services,2258.8,2258.8,2207.0,2257.75,2230.0,-27.75,533.3428003408122,57998,129291461.52,4067.4,2037.15,-19.15,-2.92,2023-02-26 01:20:38.400,1877.9,0.5482617888577469
Canara Bank,Financial Services,181.65,185.7,178.45,181.25,185.5,4.25,-91.68161434977578,5768579,1048958405.36,272.8,142.1,19.36,-11.59,2023-02-26 18:48:57.600,-2044.5,0.6799853372434017
Can Fin Homes Ltd.,Financial Services,427.85,443.4,424.7,426.35,441.45,15.10,137.97843665768195,663285,290260148.85,722.0,406.65,-18.57,-11.86,2023-02-27 12:17:16.800,255.95,0.6114265927977839
Caplin Point Laboratories Ltd.,Healthcare,704.0,714.15,704.0,710.4,711.25,0.85,61.11677426662136,26432,18764605.44,1034.8,626.0,6.49,-4.28,2023-02-28 05:45:36.000,269.8,0.6873308851952068
Carborundum Universal Ltd.,Capital Goods,715.0,721.55,698.35,716.9,710.0,-6.90,-0.17574692442882123,117136,82768297.6,1035.0,590.55,18.25,-0.50,2023-02-28 23:13:55.200,-1.25,0.6859903381642513
Castrol India Ltd.,Oil Gas & Consumable Fuels,103.3,104.15,102.75,103.3,104.0,0.70,-85.35211267605634,228227,23644317.2,150.0,99.05,-27.81,-4.97,2023-03-01 16:42:14.400,-606.0,0.6933333333333334
CCL Products (I) Ltd.,Fast Moving Consumer Goods,380.0,385.15,375.25,383.45,382.3,-1.15,267.59615384615387,132875,50844618.75,514.95,310.0,6.03,8.29,2023-03-02 10:10:33.600,278.3,0.7424021749684435
Central Depository Services (India) Ltd.,Financial Services,1111.4,1117.7,1096.0,1114.4,1105.0,-9.40,189.04002092597435,208635,230664769.65,1734.4,974.0,13.88,-11.38,2023-03-03 03:38:52.800,722.7,0.6371079335793357
Ceat Ltd.,Automobile and Auto Components,933.0,949.0,917.75,929.2,935.55,6.35,-15.334841628959284,29484,27602036.28,1477.75,890.0,-31.66,-8.36,2023-03-03 21:07:12.000,-169.45000000000005,0.6330908475723228
Central Bank of India,Financial Services,16.9,17.0,16.25,16.9,16.8,-0.10,-98.20426487093154,891053,14978600.93,29.65,16.25,-39.86,-10.58,2023-03-04 14:35:31.200,-918.75,0.5666104553119731
Century Plyboards (India) Ltd.,Consumer Durables,526.0,526.35,511.05,525.7,512.1,-13.60,2948.214285714286,35943,18514598.73,749.0,341.8,29.95,-8.41,2023-03-05 08:03:50.400,495.3,0.6837116154873164
Century Textile & Industries Ltd.,Forest Materials,808.0,817.95,797.0,805.7,806.5,0.80,57.4887717242726,156605,126723199.95,1024.0,607.7,30.97,0.98,2023-03-06 01:32:09.600,294.4,0.78759765625
Cera Sanitaryware Ltd,Consumer Durables,4141.7,4160.0,4085.9,4132.75,4111.25,-21.50,409.76441413515187,2801,11566421.39,6450.0,3515.0,-7.85,-1.61,2023-03-06 19:00:28.800,3304.75,0.6374031007751938
CESC Ltd.,Power,70.95,71.9,70.5,71.2,70.75,-0.45,-98.27911219215567,565200,40174416.0,102.45,7.23,-90.75,-8.72,2023-03-07 12:28:48.000,-4040.5,0.6905807711078574
Capri Global Capital Ltd.,Financial Services,685.55,689.15,681.05,687.4,681.15,-6.25,862.7561837455831,16875,11555156.25,805.0,436.85,29.13,2.38,2023-03-08 05:57:07.200,610.4,0.8461490683229813
CG Power and Industrial Solutions Ltd.,Capital Goods,192.0,196.25,188.6,191.65,189.65,-2.00,-72.1573808999486,928649,178430618.86,219.65,71.7,-,5.33,2023-03-08 23:25:26.400,-491.5,0.863419075802413
Chalet Hotels Ltd.,Consumer Services,314.8,331.8,310.05,314.65,327.15,12.50,72.50197732665436,866335,280848480.3,332.7,159.05,77.57,5.92,2023-03-09 16:53:45.600,137.49999999999997,0.9833183047790802
Chambal Fertilizers & Chemicals Ltd.,Chemicals,267.7,272.4,260.8,266.15,271.3,5.15,-17.071679657649387,1548368,412593620.96,516.0,260.8,-13.19,-26.76,2023-03-10 10:22:04.800,-55.849999999999966,0.5257751937984496
Chemplast Sanmar Ltd.,Chemicals,469.8,479.0,460.8,470.15,476.25,6.10,75.5436785845927,98313,46324102.47,826.0,382.7,-,-2.52,2023-03-11 03:50:24.000,204.95,0.5765738498789347
Cholamandalam Investment and Finance Company Ltd.,Financial Services,616.2,643.15,616.05,619.5,637.95,18.45,33.95275590551181,1694794,1067737167.94,768.0,469.25,20.70,-8.84,2023-03-11 21:18:43.200,161.70000000000005,0.8306640625
Cholamandalam Financial Holdings Ltd.,Financial Services,590.25,610.5,586.9,593.2,602.05,8.85,-5.627400266478578,17853,10648243.32,762.3,564.05,-10.42,-4.58,2023-03-12 14:47:02.400,-35.90000000000009,0.7897809261445625
Cipla Ltd.,Healthcare,911.2,956.05,911.2,917.2,948.0,30.80,57.46200481687569,1793834,1677593556.8,1083.0,850.0,-5.63,-7.63,2023-03-13 08:15:21.600,345.95000000000005,0.8753462603878116
Clean Science and Technology Ltd.,Chemicals,1486.95,1490.0,1456.0,1490.05,1458.0,-32.05,53.79746835443038,77405,113280669.4,2705.0,1422.1,-,-14.79,2023-03-14 01:43:40.800,510.0,0.5390018484288355
Coal India Ltd.,Oil Gas & Consumable Fuels,185.0,186.15,176.6,185.6,183.2,-2.40,-87.43484224965707,17248729,3132369186.4,209.0,132.75,26.56,-3.78,2023-03-14 19:12:00.000,-1274.8,0.876555023923445
Cochin Shipyard Ltd.,Capital Goods,310.9,313.0,307.15,311.7,312.85,1.15,70.76965065502185,34795,10809066.75,402.6,280.75,-19.08,-3.53,2023-03-15 12:40:19.200,129.65000000000003,0.7770740188772975
Coforge Ltd.,Information Technology,3538.0,3538.0,3419.9,3539.3,3495.0,-44.30,1017.1487933514463,536217,1852924654.35,6135.0,3218.1,-14.87,-9.52,2023-03-16 06:08:38.400,3182.15,0.5696821515892421
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,1488.8,1520.0,1484.35,1486.85,1515.1,28.25,-56.649499284692425,437561,661491592.97,1823.4,1375.6,-11.80,-8.63,2023-03-16 23:36:57.600,-1979.9,0.8309202588570801
Container Corporation of India Ltd.,Services,596.4,605.0,585.05,594.3,603.15,8.85,-60.1907464853805,1065738,634167396.9,754.4,554.0,-14.90,-8.63,2023-03-17 17:05:16.800,-911.9499999999999,0.7995095440084835
Coromandel International Ltd.,Chemicals,953.0,969.5,932.75,953.15,968.05,14.90,60.49904667164054,366177,349230328.44,983.95,709.35,5.80,0.87,2023-03-18 10:33:36.000,364.9,0.9838406423090603
CreditAccess Grameen Ltd.,Financial Services,1012.95,1025.0,995.15,1015.8,1021.9,6.10,5.562729197872018,159386,160874665.24,1154.0,494.7,35.44,-5.20,2023-03-19 04:01:55.200,53.85000000000002,0.885528596187175
CRISIL Ltd.,Financial Services,3281.2,3398.0,3264.1,3286.7,3269.7,-17.00,219.96281436539778,42577,142348109.87,3863.55,2425.2,29.43,-3.52,2023-03-19 21:30:14.400,2247.7999999999997,0.8462942112823697
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,339.95,351.1,337.1,340.15,349.8,9.65,-89.30177080466098,517467,179317839.51,512.8,312.0,-21.73,-5.89,2023-03-20 14:58:33.600,-2919.8999999999996,0.6821372854914197
CSB Bank Ltd.,Financial Services,194.5,195.0,190.0,193.1,191.6,-1.50,-45.22584333905088,198621,38345770.26,374.0,178.0,-44.38,2.20,2023-03-21 08:26:52.800,-158.20000000000002,0.5122994652406417
City Union Bank Ltd.,Financial Services,133.0,137.0,130.95,133.05,134.55,1.50,-29.77557411273486,1461281,195154077.55,183.95,109.0,-20.14,-5.03,2023-03-22 01:55:12.000,-57.04999999999998,0.7314487632508835
Cummins India Ltd.,Capital Goods,1016.0,1030.2,1014.0,1024.2,1030.0,5.80,665.5146785581567,149758,153313254.92,1162.0,821.6,13.86,-0.17,2023-03-22 19:23:31.200,895.45,0.8864027538726333
Cyient Ltd.,Information Technology,760.45,766.35,749.1,756.65,756.85,0.20,-26.519417475728158,196910,149269594.6,1292.0,720.0,-11.98,-3.41,2023-03-23 12:51:50.400,-273.15,0.5857972136222911
Dabur India Ltd.,Fast Moving Consumer Goods,492.05,512.7,492.05,495.95,511.3,15.35,-32.4436810464425,1704654,861071875.02,658.95,482.25,-12.80,-4.44,2023-03-24 06:20:09.600,-245.55,0.7759314060247363
Dalmia Bharat Ltd.,Construction Materials,1280.0,1337.8,1272.5,1283.65,1326.0,42.35,159.3389399569724,197336,259368571.6,2548.4,1212.5,-32.12,-5.79,2023-03-24 23:48:28.800,814.7,0.5203264793595982
Dilip Buildcon Ltd.,Construction,190.0,190.75,187.45,190.4,189.75,-0.65,-85.69004524886878,231621,43871333.61,749.8,187.45,-66.80,-16.47,2023-03-25 17:16:48.000,-1136.25,0.2530674846625767
DCM Shriram Ltd.,Diversified,941.5,954.35,936.1,944.45,947.8,3.35,399.4993412384717,26354,24980693.06,1263.85,855.0,3.56,-4.80,2023-03-26 10:45:07.200,758.05,0.7499307671005262
Deepak Nitrite Ltd.,Chemicals,1741.0,1755.95,1681.15,1736.4,1726.2,-10.20,82.12703101920238,894640,1526175322.4,3020.0,1681.15,-3.99,-13.05,2023-03-27 04:13:26.400,778.4000000000001,0.57158940397351
Delta Corp Ltd.,Consumer Services,167.05,174.55,166.0,166.45,172.45,6.00,-90.00984822152705,10179569,1744370943.84,339.7,162.1,-6.09,-23.79,2023-03-27 21:41:45.600,-1553.75,0.507653812187224
Devyani International Ltd.,Consumer Services,156.35,159.7,152.7,155.35,158.0,2.65,-8.379240359524498,1367282,214950403.22,198.9,107.55,-,-8.89,2023-03-28 15:10:04.800,-14.449999999999989,0.7943690296631473
Dhani Services Ltd.,Financial Services,37.6,37.6,34.2,35.85,35.3,-0.55,-77.65822784810126,20638577,751037817.03,242.9,28.5,-79.85,-28.44,2023-03-29 08:38:24.000,-122.7,0.14532729518320295
Divi's Laboratories Ltd.,Healthcare,3590.35,3649.6,3581.05,3630.4,3647.0,16.60,10231.444759206799,304397,1099975087.14,5425.1,3365.55,-17.65,1.09,2023-03-30 02:06:43.200,3611.7,0.6722456728908223
Dixon Technologies (India) Ltd.,Consumer Durables,3575.0,3606.75,3517.0,3575.0,3594.0,19.00,-1.453249245955579,157931,563530973.51,6243.6,3180.55,-19.14,-7.35,2023-03-30 19:35:02.400,-53.0,0.5756294445512204
DLF Ltd.,Realty,310.4,324.4,309.45,312.7,323.0,10.30,-91.01279910962715,5557896,1764076190.4,449.7,279.45,11.24,-9.51,2023-03-31 13:03:21.600,-3271.0,0.7182566155214588
Avenue Supermarts Ltd.,Consumer Services,3394.45,3406.65,3331.1,3406.1,3395.0,-11.10,951.0835913312693,311228,1049656889.64,5900.0,3186.0,1.85,-14.26,2023-04-01 06:31:40.800,3072.0,0.5754237288135593
Dr. Reddy's Laboratories Ltd.,Healthcare,4385.0,4395.0,4290.05,4393.8,4385.0,-8.80,29.160530191458033,304799,1327369165.1,5614.6,3654.0,-18.98,0.55,2023-04-02 00:00:00.000,990.0,0.7809995369215972
Easy Trip Planners Ltd.,Consumer Services,392.2,402.9,390.4,391.4,400.95,9.55,-90.85632839224628,1105653,441277168.83,717.65,261.0,-0.66,2.78,2023-04-02 17:28:19.200,-3984.05,0.5586985299240577
eClerx Services Ltd.,Services,1920.25,1920.25,1888.8,1920.25,1905.2,-15.05,375.17146776406037,12475,23805543.5,2970.0,1755.65,-,-5.53,2023-04-03 10:56:38.400,1504.25,0.6414814814814815
Edelweiss Financial Services Ltd.,Financial Services,52.05,52.5,50.85,51.55,51.85,0.30,-97.27850094478269,613698,31666816.8,100.9,49.4,-28.75,-5.76,2023-04-04 04:24:57.600,-1853.3500000000001,0.5138751238850346
Eicher Motors Ltd.,Automobile and Auto Components,2775.0,2809.8,2750.4,2794.35,2789.0,-5.35,5278.977820636451,367512,1018802065.92,2994.0,2159.55,4.61,0.49,2023-04-04 21:53:16.800,2737.15,0.9315297261189045
E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods,525.5,532.55,513.0,530.6,529.0,-1.60,-81.03262818214414,228073,119282179.0,576.0,377.3,24.42,-4.51,2023-04-05 15:21:36.000,-2260.0,0.9184027777777778
EIH Ltd.,Consumer Services,124.4,127.95,124.2,124.9,126.9,2.00,-76.01134215500946,162116,20512537.48,171.75,100.0,11.57,-7.58,2023-04-06 08:49:55.200,-402.1,0.7388646288209607
Elgi Equipments Ltd.,Capital Goods,351.5,362.4,344.35,358.5,347.0,-11.50,173.4436564223798,204302,71922476.08,422.3,191.3,73.27,4.11,2023-04-07 02:18:14.400,220.1,0.8216907411792564
Emami Ltd.,Fast Moving Consumer Goods,417.2,429.6,415.35,420.25,424.95,4.70,22.46397694524496,102892,43498621.92,621.8,393.4,-25.00,0.94,2023-04-07 19:46:33.600,77.94999999999999,0.6834191058218076
Endurance Technologies Ltd.,Automobile and Auto Components,1418.8,1419.0,1396.85,1411.7,1410.0,-1.70,231.80374161666077,140419,197643955.07,1989.0,1047.2,-13.14,7.94,2023-04-08 13:14:52.800,985.05,0.7088989441930619
Engineers India Ltd.,Construction,57.0,58.95,56.6,57.0,58.8,1.80,-95.82978723404256,751759,43752373.8,82.5,56.0,-28.39,-8.51,2023-04-09 06:43:12.000,-1351.2,0.7127272727272727
EPL Ltd.,Capital Goods,150.1,159.95,149.3,149.15,156.5,7.35,166.15646258503403,220028,34181349.8,291.0,147.15,-46.73,-9.19,2023-04-10 00:11:31.200,97.7,0.5378006872852233
Equitas Holdings Ltd.,Financial Services,82.4,83.0,81.5,82.0,82.55,0.55,-47.25239616613419,198014,16282691.22,145.0,75.0,-12.77,-12.11,2023-04-10 17:39:50.400,-73.95,0.5693103448275861
Equitas Small Finance Bank Ltd.,Financial Services,39.4,39.5,38.8,39.45,39.5,0.05,-52.15021199273168,160741,6302654.61,76.8,37.45,-33.08,-2.95,2023-04-11 11:08:09.600,-43.05,0.5143229166666667
Eris Lifesciences Ltd.,Healthcare,670.55,670.55,648.45,667.2,651.0,-16.20,1548.1012658227846,8326,5464104.02,863.0,600.3,-5.70,-0.09,2023-04-12 04:36:28.800,611.5,0.7543453070683661
Escorts Kubota Ltd.,Capital Goods,1449.95,1471.7,1424.55,1444.8,1467.2,22.40,125.37634408602152,489734,708072109.22,1934.0,1128.0,18.42,-11.36,2023-04-12 22:04:48.000,816.2,0.7586349534643226
Exide Industries Ltd.,Automobile and Auto Components,137.5,141.95,136.8,137.8,141.95,4.15,-90.32510905125409,854228,119053756.36,204.9,130.25,-24.43,-5.91,2023-04-13 15:33:07.200,-1325.25,0.6927769643728647
Fertilisers and Chemicals Travancore Ltd.,Chemicals,96.4,96.4,93.4,96.4,95.0,-1.40,-33.07502641775273,227181,21543574.23,159.9,82.35,-30.17,-22.51,2023-04-14 09:01:26.400,-46.94999999999999,0.5941213258286429
FDC Ltd.,Healthcare,239.8,255.0,233.45,238.65,248.0,9.35,161.05263157894737,40209,9696400.35,388.7,225.0,-32.58,-3.01,2023-04-15 02:29:45.600,153.0,0.6380241831746849
Federal Bank Ltd.,Financial Services,90.55,94.35,89.3,90.2,94.05,3.85,-62.076612903225815,16073373,1482447191.79,107.65,77.5,3.56,1.52,2023-04-15 19:58:04.800,-153.95,0.8736646539712029
Finolex Cables Ltd.,Capital Goods,374.0,381.95,371.35,376.3,376.3,-,300.1063264221159,49522,18673755.76,608.6,343.5,-27.61,1.51,2023-04-16 13:26:24.000,282.25,0.6183043049622083
Fine Organic Industries Ltd.,Chemicals,4804.45,4898.35,4780.0,4797.9,4840.0,42.10,1186.2078129152271,25788,124989020.52,6139.9,2734.55,65.76,-1.46,2023-04-17 06:54:43.200,4463.7,0.7882864541767781
Finolex Industries Ltd.,Capital Goods,135.8,137.5,134.1,136.2,137.2,1.00,-97.16528925619835,118082,16022546.58,244.5,125.0,-25.96,-13.25,2023-04-18 00:23:02.400,-4702.8,0.5611451942740285
Gujarat Fluorochemicals Ltd.,Chemicals,2800.25,2807.4,2696.95,2774.95,2755.0,-19.95,1908.0174927113703,44957,124253505.31,3198.9,1034.1,138.90,-3.89,2023-04-18 17:51:21.600,2617.8,0.8612335490324798
Fortis Healthcare Ltd.,Healthcare,236.65,238.0,232.3,240.0,235.5,-4.50,-91.4519056261343,536057,125769693.34,313.45,219.75,-1.40,0.82,2023-04-19 11:19:40.800,-2519.5,0.7513159993619397
Firstsource Solutions Ltd.,Information Technology,102.5,104.3,101.35,102.9,103.7,0.80,-55.966029723991504,1265235,130116767.4,242.85,93.0,-44.96,-7.34,2023-04-20 04:48:00.000,-131.8,0.4270125591929175
Gujarat Ambuja Exports Ltd.,Fast Moving Consumer Goods,280.0,282.6,268.05,282.7,273.15,-9.55,163.404050144648,245672,67483641.68,394.15,150.05,62.85,-15.99,2023-04-20 22:16:19.200,169.45,0.6930102752759102
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,134.1,136.4,131.0,135.2,132.6,-2.60,-51.455244371224595,10077624,1336595271.12,173.5,125.2,-9.66,-8.15,2023-04-21 15:44:38.400,-140.54999999999998,0.7642651296829971
Galaxy Surfactants Ltd.,Chemicals,2934.6,2934.6,2838.0,2920.05,2849.95,-70.10,2049.2835595776774,18915,53998352.85,3585.65,2585.0,-3.40,1.68,2023-04-22 09:12:57.600,2717.35,0.7948210226876576
Garware Technical Fibres Ltd.,Textiles,3093.75,3093.75,2972.35,3078.35,3000.5,-77.85,5.282548816645916,4359,13258639.53,4030.0,2619.8,-9.01,3.57,2023-04-23 02:41:16.800,150.55000000000018,0.7445409429280397
Great Eastern Shipping Co. Ltd.,Services,395.75,398.9,385.0,395.6,390.25,-5.35,-86.99383436093984,120133,46909533.84,445.0,265.0,1.74,-0.39,2023-04-23 20:09:36.000,-2610.25,0.8769662921348315
General Insurance Corporation of India,Financial Services,114.1,116.4,114.1,115.2,115.95,0.75,-70.28827674567584,90066,10390013.76,211.5,105.0,-44.75,-3.60,2023-04-24 13:37:55.200,-274.3,0.5482269503546099
Gland Pharma Ltd.,Healthcare,2710.0,2710.0,2637.4,2701.7,2641.0,-60.70,2177.705907718844,129469,344517009.0,4350.0,2495.15,-21.10,-5.57,2023-04-25 07:06:14.400,2525.05,0.6071264367816092
Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,1505.0,1527.0,1499.0,1499.6,1499.0,-0.60,-43.241196516471035,54631,82318537.11,1918.75,1450.0,-0.17,-0.80,2023-04-26 00:34:33.600,-1142.0,0.7812377850162866
Glenmark Pharmaceuticals Ltd.,Healthcare,385.2,395.0,382.0,386.35,395.0,8.65,-73.64909939959973,398227,155165168.28,690.95,348.5,-40.79,-1.83,2023-04-26 18:02:52.800,-1104.0,0.5716766770388595
Glenmark Life Sciences Ltd.,Healthcare,441.0,444.5,440.0,444.3,441.8,-2.50,11.848101265822786,15000,6619500.0,799.0,410.0,-,4.96,2023-04-27 11:31:12.000,46.80000000000001,0.5529411764705883
GMM Pfaudler Ltd.,Capital Goods,4355.0,4372.0,4300.05,4345.6,4330.0,-15.60,880.0814848347668,14737,64042138.79,5295.0,3770.0,-7.22,3.63,2023-04-28 04:59:31.200,3888.2,0.817752596789424
GMR Infrastructure Ltd.,Services,34.0,34.75,33.6,34.1,34.5,0.40,-99.20323325635104,4338629,148337725.51,49.15,27.35,7.23,-10.26,2023-04-28 22:27:50.400,-4295.5,0.7019328585961343
