Company Name,Industry,Open,High,Low,Previous Close,Last Traded Price,Change,Percentage Change,Share Volume,Value (Indian Rupee),52 Week High,52 Week Low,365 Day Percentage Change,30 Day Percentage Change,Date,Daily Change,Performance
UFLEX Ltd.,Capital Goods,580.6,583.0,568.05,580.6,579.0,-1.60,5139.819004524887,59052,34016314.08,719.0,427.0,2.08,-5.34,2023-12-09 03:50:24.000,567.95,0.8052851182197497
UltraTech Cement Ltd.,Construction Materials,5600.0,5699.75,5485.0,5607.3,5690.0,82.70,882.7288428324698,329610,1855160443.5,8269.0,5157.05,-17.25,-7.81,2023-12-09 21:18:43.200,5111.0,0.6881122263877132
Union Bank of India,Financial Services,34.4,34.65,34.0,34.25,34.55,0.30,-99.39279437609841,2376699,81520775.7,54.8,32.7,-11.15,-9.51,2023-12-10 14:47:02.400,-5655.45,0.6304744525547445
UPL Ltd.,Chemicals,630.0,646.0,621.95,632.4,642.85,10.45,1760.6367583212736,3575548,2276015079.4,852.4,607.5,-20.24,-18.88,2023-12-11 08:15:21.600,608.3000000000001,0.7541647114030972
UTI Asset Management Company Ltd.,Financial Services,643.0,643.0,628.05,645.9,640.0,-5.90,-0.44333825931399673,46115,29270573.95,1216.2,595.0,-24.34,-5.71,2023-12-12 01:43:40.800,-2.8500000000000227,0.5262292386120704
Vaibhav Global Ltd.,Consumer Services,301.0,306.95,287.9,299.9,303.0,3.10,-52.65625000000001,131705,39561547.9,860.0,287.9,-62.43,-10.68,2023-12-12 19:12:00.000,-337.0,0.35232558139534886
Vakrangee Ltd.,Information Technology,26.75,27.5,26.15,26.75,26.7,-0.05,-91.1881188118812,2363491,62963400.24,47.2,23.55,-35.93,-6.47,2023-12-13 12:40:19.200,-276.3,0.5656779661016949
Varroc Engineering Ltd.,Automobile and Auto Components,300.5,307.45,295.1,299.7,305.1,5.40,1042.6966292134832,134195,40414166.2,493.85,260.0,-18.37,-12.87,2023-12-14 06:08:38.400,278.40000000000003,0.6177989267996356
Varun Beverages Ltd.,Fast Moving Consumer Goods,790.0,809.0,786.2,790.55,790.0,-0.55,158.93149786955095,951574,759584429.76,809.0,472.67,8.35,-25.17,2023-12-14 23:36:57.600,484.9,0.9765142150803461
Vedanta Ltd.,Metals & Mining,221.1,223.6,206.0,223.0,213.7,-9.30,-72.9493670886076,26130465,5596884298.35,440.75,206.0,-15.16,-30.51,2023-12-15 17:05:16.800,-576.3,0.48485536018150877
Venky's (India) Ltd.,Fast Moving Consumer Goods,1897.15,1910.0,1875.75,1896.6,1901.0,4.40,789.5648104819841,8251,15614192.4,3746.0,1772.95,-47.10,-6.86,2023-12-16 10:33:36.000,1687.3,0.5074746396155899
V-Guard Industries Ltd.,Consumer Durables,224.2,226.75,217.1,225.2,218.5,-6.70,-88.50604944765912,212688,47031697.44,274.8,181.0,-15.07,-3.88,2023-12-17 04:01:55.200,-1682.5,0.7951237263464337
Vijaya Diagnostic Centre Ltd.,Healthcare,333.2,361.0,331.55,333.2,351.25,18.05,60.755148741418765,203583,71673430.98,672.0,295.0,-,-8.26,2023-12-17 21:30:14.400,132.75,0.5226934523809523
Vinati Organics Ltd.,Chemicals,1977.0,2024.9,1936.7,1982.9,1983.0,0.10,464.5551601423487,40500,80528580.0,2290.0,1674.2,8.36,-3.20,2023-12-18 14:58:33.600,1631.75,0.865938864628821
V.I.P. Industries Ltd.,Consumer Durables,626.5,631.8,606.4,626.5,618.9,-7.60,-68.78971255673223,125113,77473722.99,774.6,374.0,56.41,8.04,2023-12-19 08:26:52.800,-1364.1,0.7989930286599535
V-Mart Retail Ltd.,Consumer Services,2497.65,2500.0,2425.0,2485.2,2471.0,-14.20,299.25674583939247,28139,69418913.0,4848.8,2406.85,-11.25,-24.14,2023-12-20 01:55:12.000,1852.1,0.5096106253093549
Voltas Ltd.,Consumer Durables,949.8,969.65,938.1,972.4,959.0,-13.40,-61.1898016997167,1129398,1079952955.56,1356.9,922.55,-4.90,-4.48,2023-12-20 19:23:31.200,-1512.0,0.7067580514407841
Vardhman Textiles Ltd.,Textiles,265.45,273.25,262.1,265.05,272.95,7.90,-71.53806047966633,431463,115235138.04,2880.0,245.5,-80.62,-7.58,2023-12-21 12:51:50.400,-686.05,0.09477430555555555
Welspun Corp Ltd.,Capital Goods,217.0,221.55,213.1,218.85,214.65,-4.20,-21.359223300970864,880477,190852194.52,250.65,105.85,52.94,-3.29,2023-12-22 06:20:09.600,-58.29999999999998,0.8563734290843806
Welspun India Ltd.,Textiles,69.6,70.4,68.15,69.45,69.9,0.45,-67.43535988819008,1174496,81275123.2,170.7,62.2,-27.96,6.27,2023-12-22 23:48:28.800,-144.75,0.40949033391915646
Westlife Development Ltd.,Consumer Services,498.0,508.0,490.05,497.3,491.0,-6.30,602.4320457796853,50304,25038816.0,629.0,402.3,-0.46,9.25,2023-12-23 17:16:48.000,421.1,0.78060413354531
Whirlpool of India Ltd.,Consumer Durables,1552.0,1579.8,1538.5,1560.85,1560.0,-0.85,217.71894093686353,62441,97504743.55,2550.0,1365.1,-30.18,-4.90,2023-12-24 10:45:07.200,1069.0,0.611764705882353
Wipro Ltd.,Information Technology,415.0,423.2,411.4,416.05,422.05,6.00,-72.94551282051283,4453624,1855023468.48,739.85,402.05,-23.75,-12.97,2023-12-25 04:13:26.400,-1137.95,0.5704534702980334
Wockhardt Ltd.,Healthcare,206.95,208.8,205.15,208.55,207.0,-1.55,-50.95367847411445,375081,77671773.48,592.0,205.15,-59.74,-19.34,2023-12-25 21:41:45.600,-215.05,0.34966216216216217
Yes Bank Ltd.,Financial Services,12.65,12.75,12.55,12.65,12.7,0.05,-93.86473429951691,18633694,235902566.04,16.25,10.5,-6.64,-3.80,2023-12-26 15:10:04.800,-194.3,0.7815384615384615
Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,213.0,215.85,210.6,214.1,215.5,1.40,1596.8503937007874,4131369,880807870.8,378.7,166.8,-0.30,-15.33,2023-12-27 08:38:24.000,202.8,0.569052020068656
Zensar Technolgies Ltd.,Information Technology,273.15,273.55,268.4,272.1,270.0,-2.10,25.290023201856137,186578,50467483.22,587.0,246.65,-12.61,-11.02,2023-12-28 02:06:43.200,54.5,0.4599659284497445
ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,7748.0,7900.0,7525.3,7716.6,7680.0,-36.60,2744.4444444444443,12790,98846236.0,8780.05,6793.3,-,1.43,2023-12-28 19:35:02.400,7410.0,0.8747102806931624
Zomato Ltd.,Consumer Services,54.15,56.7,52.55,53.85,56.0,2.15,-99.27083333333333,112078641,6193465701.66,169.0,50.05,-,-27.86,2023-12-29 13:03:21.600,-7624.0,0.33136094674556216
Zydus Lifesciences Ltd.,Healthcare,356.9,364.05,354.3,357.0,364.0,7.00,550.0,862373,310014469.77,651.9,319.0,-,-5.64,2023-12-30 06:31:40.800,308.0,0.5583678478294217
Zydus Wellness Ltd.,Fast Moving Consumer Goods,1635.0,1635.0,1605.0,1636.85,1627.0,-9.85,346.978021978022,10803,17495674.56,2476.85,1430.0,-22.08,6.25,2023-12-31 00:00:00.000,1263.0,0.6568827341179321
